Bundesland,Weiblich,Männlich,Insgesamt,Kürzel
Baden-Württemberg,1927,5794,7721,BW
Bayern,1932,5911,7843,BY
Berlin,1389,2472,3861,BE
Brandenburg,353,690,1043,BB
Bremen,234,478,712,HB
Hamburg,612,1326,1938,HH
Hessen,1154,2816,3970,HE
Mecklenburg-Vorpommern,238,650,888,MV
Niedersachsen,1110,2690,3800,NI
Nordrhein-Westfalen,3110,7529,10639,NW
Rheinland-Pfalz,591,1611,2202,RP
Saarland,122,401,523,SL
Sachsen,613,1785,2398,SN
Sachsen-Anhalt,264,820,1084,ST
Schleswig-Holstein,321,918,1239,SH
Thüringen,356,944,1300,TH
