Rang,Name,Anzahl Professuren,davon weibl.1,Frauenquote (in %)1,Anzahl Juniorprofessuren,davon weibl.2,Frauenquote (in %)2,Koordinaten
1,Universität Potsdam,274,111,"40,51",28,17,"60,71","[52.40856203562808,12.97623086008567]"
2,IU Internationale Hochschule,671,261,"38,90",0,0,"0,00","[50.642206183885094,7.228713030093275]"
3,Humboldt-Universität zu Berlin,458,178,"38,86",46,31,"67,39","[52.51807885889721,13.39453486445804]"
4,Universität Bielefeld,340,130,"38,24",32,17,"53,13","[52.03725134075457,8.495584584682918]"
5,Universität Koblenz,69,25,"36,23",7,1,"14,29","[50.363719242931886,7.558120399178285]"
6,Universität Bremen,314,105,"33,44",10,5,"50,00","[53.10687029093993,8.855304191516964]"
7,Universität Hamburg,682,224,"32,84",68,38,"55,88","[53.56355924646655,9.98814667119336]"
8,Justus-Liebig-Universität Gießen,333,109,"32,73",3,2,"66,67","[50.58130859132681,8.67734646466963]"
9,Westfälische Wilhelms-Universität Münster,521,163,"31,29",37,19,"51,35","[51.96375880802679,7.613386500513499]"
10,Universität Kassel,287,89,"31,01",keine Angabe,keine Angabe,keine Angabe,"[51.333928794044866,9.477276954356686]"
11,Ruhr-Universität Bochum,492,152,"30,89",54,28,"51,85","[51.44707307427591,7.2613186233679325]"
12,Bergische Universität Wuppertal,277,85,"30,69",23,12,"52,17","[51.245091042975446,7.150038530594616]"
13,Universität Duisburg-Essen,395,120,"30,38",29,15,"51,72","[51.24506417837942,7.150467684017425]"
14,Universität zu Köln,621,186,"29,95",49,27,"55,10","[50.92910126579348,6.929618253069187]"
15,FernUniversität in Hagen,98,29,"29,59",5,3,"60,00","[51.377209822781374,7.495236176181825]"
16,Eberhard Karls Universität Tübingen,551,163,"29,58",55,33,"60,00","[48.52583928518512,9.06085261247395]"
16,Georg-August-Universität Göttingen,382,113,"29,58",19,9,"47,37","[51.54210804027535,9.939912590010964]"
18,Christian-Albrechts-Universität zu Kiel,481,140,"29,11",34,17,"50,00","[54.34410755074946,10.114943263922973]"
19,Philipps-Universität Marburg,331,95,"28,70",16,7,"43,75","[50.81069718280345,8.774471245024735]"
20,Universität Leipzig,469,134,"28,57",36,21,"58,33","[51.33910954424906,12.378118138619532]"
21,Julius-Maximilians-Universität Würzburg,374,106,"28,34",38,23,"60,53","[49.78818094357036,9.935603282813123]"
22,Technische Hochschule Köln,418,118,"28,23",0,0,"0,00","[50.92089745831279,6.965916190607021]"
23,Rheinische Friedrich-Wilhelms-Universität Bonn,627,175,"27,91",54,35,"64,81","[50.72728005596174,7.087005298806701]"
24,Albert-Ludwigs-Universität Freiburg im Breisgau,440,122,"27,73",32,15,"46,88","[47.99423628850102,7.8459381086253455]"
25,Technische Universität Dortmund,295,81,"27,46",28,11,"39,29","[51.48958548626047,7.415281672463075]"
26,Johannes Gutenberg-Universität Mainz,581,157,"27,02",40,22,"55,00","[49.99299850855445,8.24142641421558]"
27,Gottfried Wilhelm Leibniz Universität Hannover,343,92,"26,82",11,6,"54,55","[52.38274505206714,9.717780462237164]"
28,Ludwig-Maximilians-Universität München,807,213,"26,39",7,3,"42,86","[48.15146204247497,11.580032520120561]"
29,Universität Siegen,229,58,"25,33",19,7,"36,84","[50.91157025538616,8.025929929766445]"
30,Technische Universität Carolo-Wilhelmina zu Braunschweig,242,59,"24,38",15,6,"40,00","[52.274442322209154,10.52981742693626]"
31,Heinrich-Heine-Universität Düsseldorf,317,76,"23,97",13,4,"30,77","[51.19193165548657,6.793788853838765]"
32,Technische Universität Dresden,533,125,"23,45",33,14,"42,42","[51.02939620205263,13.7310099848356]"
33,Martin-Luther-Universität Halle-Wittenberg,337,78,"23,15",23,6,"26,09","[51.48719743780243,11.969221250069278]"
34,Technische Universität Darmstadt,325,75,"23,08",31,13,"41,94","[49.875311956695235,8.655805460696197]"
35,Universität Regensburg,365,83,"22,74",10,6,"60,00","[48.99705745221895,12.095400521350557]"
36,Ruprecht-Karls-Universität Heidelberg,500,113,"22,60",27,12,"44,44","[49.410966685134746,8.706640090451373]"
37,Friedrich-Alexander-Universität Erlangen-Nürnberg,633,142,"22,43",42,19,"45,24","[49.59835628871077,11.005444882107293]"
38,Rheinisch-Westfälische Technische Hochschule Aachen,569,127,"22,32",38,18,"47,37","[50.77849491091315,6.077364230206023]"
39,Duale Hochschule Baden-Württemberg,809,177,"21,88",0,0,"0,00","[48.83032750902626,9.202079791719903]"
40,Universität Stuttgart,292,55,"18,84",21,5,"23,81","[48.78342042853008,9.172075490766606]"
41,Technische Hochschule Mittelhessen – THM,243,42,"17,28",0,0,"0,00","[50.600065965805825,8.689867294468256]"
42,Karlsruher Institut für Technologie,385,63,"16,36",24,8,"33,33","[49.01022580662705,8.412411544508466]"
0,Gesamt,17710,4949,"27,94",1057,535,"50,61","[]"
